DATA;Open;High;Low;Close;Volume;Adjusted
04/01/2010;23,95599152;24,03328672;23,81796437;23,85109089;3412488;23,85109089
05/01/2010;23,96703369;24,01120238;23,64681071;23,68545831;2997476;23,68545831
06/01/2010;23,71306374;23,90078066;23,63024745;23,90078066;4710811;23,90078066
07/01/2010;23,84004872;23,91734392;23,70202157;23,77931677;2893529;23,77931677
08/01/2010;23,64128963;23,74066917;23,49774139;23,54743117;5166479;23,54743117
11/01/2010;23,52534682;23,70754266;23,40940402;23,50326248;3208720;23,50326248
12/01/2010;23,3376299;23,54191008;23,24377144;23,50326248;3893968;23,50326248
13/01/2010;23,35971425;23,54191008;23,2989823;23,30450339;2792717;23,30450339
14/01/2010;23,3376299;23,39284076;23,20512384;23,39284076;3038786;23,39284076
15/01/2010;23,19960276;23,37627751;23,12782864;23,37627751;5509192;23,37627751
18/01/2010;23,38731968;23,38731968;23,09470213;23,1830395;3592055;23,1830395
19/01/2010;23,08365996;23,21064493;23,07813887;23,12782864;2638134;23,12782864
20/01/2010;23,07813887;23,21064493;23,02292801;23,18856059;6921062;23,18856059
21/01/2010;23,00636475;23,21064493;22,97323824;23,13334973;5375051;23,13334973
22/01/2010;23,21064493;23,45357271;23,0284491;23,45357271;7047035;23,45357271
26/01/2010;23,1830395;23,18856059;23,02292801;23,05053344;3263433;23,05053344
27/01/2010;23,05053344;23,12230756;22,99532258;23,02292801;4670548;23,02292801
28/01/2010;22,96771715;23,09470213;22,60884657;22,74687372;8037634;22,74687372
29/01/2010;22,97323824;23,02292801;22,78000023;22,95667498;4960916;22,95667498
01/02/2010;22,80760566;23,02292801;22,68062069;22,95115389;3459772;22,95115389
02/02/2010;22,95115389;23,12782864;22,74135263;22,7523948;3690323;22,7523948
03/02/2010;22,74135263;22,95667498;22,70270503;22,85729544;3185402;22,85729544
04/02/2010;22,74687372;22,90146412;22,47081943;22,71926829;5138710;22,71926829
05/02/2010;22,60884657;22,85177435;22,21684948;22,24997599;3938349;22,24997599
08/02/2010;22,25549708;22,41008748;22,08434342;22,22237056;5696914;22,22237056
09/02/2010;22,23893382;22,62540983;22,16163862;22,36039771;3690222;22,36039771
10/02/2010;22,36039771;22,38248205;22,19476513;22,22789165;3429634;22,22789165
11/02/2010;22,30518685;22,46529834;22,11746993;22,41560857;2538060;22,41560857
12/02/2010;22,58676223;22,58676223;22,11194884;22,23341273;1860891;22,23341273
17/02/2010;22,24445491;22,41560857;22,13955427;22,39352422;3796339;22,39352422
18/02/2010;22,28310251;22,36039771;22,15059645;22,29966576;2130777;22,29966576
19/02/2010;22,35487662;22,35487662;21,99600604;22,09538559;6291547;22,09538559
22/02/2010;22,04017473;22,14507536;21,94631627;21,99600604;4846435;21,99600604
23/02/2010;21,95183735;22,07882233;21,78068369;22,02361147;4236482;22,02361147
24/02/2010;22,07882233;22,1671597;21,91871084;21,97944278;4807618;21,97944278
25/02/2010;21,75307826;22,02913256;21,70890958;22,00152713;3317701;22,00152713
26/02/2010;22,00152713;22,00152713;21,60400895;21,75307826;4314544;21,75307826
01/03/2010;21,75307826;21,86349998;21,68130415;21,68130415;1189189;21,68130415
02/03/2010;21,80276804;21,8966265;21,56536135;21,63713546;4077093;21,63713546
03/03/2010;21,81381021;21,81381021;21,53775592;21,64265655;9398644;21,64265655
04/03/2010;21,78620478;21,78620478;21,46046071;21,59848786;2994659;21,59848786
05/03/2010;21,74203609;21,74755718;21,47702397;21,59296677;3503441;21,59296677
08/03/2010;21,72547283;21,72547283;21,46046071;21,47702397;5561267;21,47702397
09/03/2010;21,44941854;21,75307826;21,44389746;21,68130415;4190086;21,68130415
10/03/2010;21,80828912;22,32727119;21,69234632;22,32727119;5288518;22,32727119
11/03/2010;22,30518685;22,30518685;22,11746993;22,26101816;2106790;22,26101816
12/03/2010;22,30518685;22,37696097;21,91871084;21,91871084;2354943;21,91871084
15/03/2010;21,92423193;22,08434342;21,69234632;21,99048496;1520694;21,99048496
16/03/2010;21,91871084;22,07882233;21,69786741;21,8579789;2539808;21,8579789
17/03/2010;21,86902107;22,05673799;21,6205722;21,69786741;3158104;21,69786741
18/03/2010;21,75307826;21,97944278;21,56536135;21,94079518;2022927;21,94079518
19/03/2010;21,9352741;21,9352741;21,54879809;21,58744569;3144605;21,58744569
22/03/2010;21,57088243;21,91871084;21,47702397;21,49910831;2631402;21,49910831
23/03/2010;21,53223483;21,67578306;21,18440642;21,52119266;3105524;21,52119266
24/03/2010;21,52119266;21,52119266;21,09054796;21,09054796;4611615;21,09054796
25/03/2010;21,25065945;21,25065945;20,7648039;20,89178887;8297001;20,89178887
26/03/2010;20,83105693;21,18992751;20,83105693;21,14023773;4828274;21,14023773
29/03/2010;21,18992751;21,41077094;20,90835213;21,36660225;5154019;21,36660225
30/03/2010;21,41629203;21,47702397;21,23961728;21,27826488;4612807;21,27826488
31/03/2010;21,26722271;21,44389746;21,17888534;21,26170162;6196291;21,26170162
01/04/2010;21,52671374;21,58744569;21,23409619;21,41629203;15539750;21,41629203
05/04/2010;21,27826488;21,57088243;21,27826488;21,52119266;12090244;21,52119266
06/04/2010;21,5819246;21,58744569;21,32243357;21,41077094;10695872;21,41077094
07/04/2010;21,52119266;21,69786741;21,40524986;21,67026198;13079713;21,67026198
08/04/2010;21,70079349;21,84841793;21,61221882;21,68307855;12451965;21,68307855
09/04/2010;21,70669846;21,71260344;20,66742237;21,19296539;9217479;21,19296539
12/04/2010;20,93314637;21,24611019;20,59656263;20,78552193;5619845;20,78552193
13/04/2010;20,69694726;21,02762602;20,54932281;20,54932281;7769977;20,54932281
14/04/2010;20,55522779;20,80323686;20,54932281;20,72647215;8823874;20,72647215
